format,units,dollars,price per unit,year
CD,0.8,17.2,21.5,1983
CD,5.8,103.3,17.81034483,1984
CD,22.6,389.5,17.23451327,1985
CD,53,930.1,17.5490566,1986
CD,102.1,1593.6,15.60822723,1987
CD,149.7,2089.9,13.96058784,1988
CD,207.2,2587.7,12.48889961,1989
CD,286.5,3451.6,12.04746946,1990
CD,333.3,4337.7,13.01440144,1991
CD,407.5,5326.5,13.07116564,1992
CD,495.4,6511.4,13.14372224,1993
CD,662.1,8464.5,12.78432261,1994
CD,722.9,9377.4,12.97191866,1995
CD,778.9,9934.7,12.75478239,1996
CD,753.1,9915.1,13.16571504,1997
CD,847,11416,13.47815821,1998
CD,938.9,12816.3,13.6503355,1999
CD,942.5,13214.5,14.02068966,2000
CD,881.9,12909.4,14.63816759,2001
CD,803.3,12044.1,14.99327773,2002
CD,746,11232.9,15.0575067,2003
CD,767,11446.5,14.92372881,2004
CD,705.4,10520.2,14.91380777,2005
CD,619.7,9372.6,15.12441504,2006
CD,499.7,7452.3,14.91354813,2007
CD,368.4,5471.3,14.85152009,2008
CD,296.6,4318.8,14.56102495,2009
CD,253,3389.4,13.39683794,2010
CD,240.8,3100.7,12.87666113,2011
CD,198.2,2485.6,12.54086781,2012
CD,172.2,2123.5,12.33159117,2013
CD,144.1,1854.1,12.8667592,2014
CD Single,1.6,9.8,6.125,1988
CD Single,1.1,6,5.454545455,1990
CD Single,5.7,35.1,6.157894737,1991
CD Single,7.3,45.1,6.178082192,1992
CD Single,7.8,45.8,5.871794872,1993
CD Single,9.3,56.1,6.032258065,1994
CD Single,21.5,110.9,5.158139535,1995
CD Single,43.2,184.1,4.261574074,1996
CD Single,66.7,272.7,4.088455772,1997
CD Single,56,213.2,3.807142857,1998
CD Single,55.9,222.4,3.978533095,1999
CD Single,34.2,142.7,4.17251462,2000
CD Single,17.3,79.4,4.589595376,2001
CD Single,4.5,19.6,4.355555556,2002
CD Single,8.3,36,4.337349398,2003
CD Single,3.1,15,4.838709677,2004
CD Single,2.8,10.9,3.892857143,2005
CD Single,1.7,7.7,4.529411765,2006
CD Single,2.6,12.2,4.692307692,2007
CD Single,0.7,3.5,5,2008
CD Single,0.9,3.1,3.444444444,2009
CD Single,1,2.9,2.9,2010
CD Single,1.3,3.5,2.692307692,2011
CD Single,1.1,3.2,2.909090909,2012
CD Single,0.6,2.4,4,2013
CD Single,1,3.8,3.8,2014
Vinyl Single,228,190,0.833333333,1973
Vinyl Single,204,194,0.950980392,1974
Vinyl Single,164,211.5,1.289634146,1975
Vinyl Single,190,245.1,1.29,1976
Vinyl Single,190,245.1,1.29,1977
Vinyl Single,190,260.3,1.37,1978
Vinyl Single,212,353.6,1.667924528,1979
Vinyl Single,157,250,1.592356688,1980
Vinyl Single,154.7,256.4,1.657401422,1981
Vinyl Single,137.2,283,2.062682216,1982
Vinyl Single,124.8,269.3,2.157852564,1983
Vinyl Single,131.5,298.7,2.27148289,1984
Vinyl Single,120.7,281,2.328086164,1985
Vinyl Single,93.9,228.1,2.429179979,1986
Vinyl Single,82,203.3,2.479268293,1987
Vinyl Single,65.6,180.4,2.75,1988
Vinyl Single,36.6,116.4,3.180327869,1989
Vinyl Single,27.6,94.4,3.420289855,1990
Vinyl Single,22,63.9,2.904545455,1991
Vinyl Single,19.8,66.4,3.353535354,1992
Vinyl Single,15.1,51.2,3.390728477,1993
Vinyl Single,11.7,47.2,4.034188034,1994
Vinyl Single,10.2,46.7,4.578431373,1995
Vinyl Single,10.1,47.5,4.702970297,1996
Vinyl Single,7.5,35.6,4.746666667,1997
Vinyl Single,5.4,25.7,4.759259259,1998
Vinyl Single,5.3,27.9,5.264150943,1999
Vinyl Single,4.8,26.3,5.479166667,2000
Vinyl Single,5.5,31.4,5.709090909,2001
Vinyl Single,4.4,24.9,5.659090909,2002
Vinyl Single,3.8,21.5,5.657894737,2003
Vinyl Single,3.5,19.9,5.685714286,2004
Vinyl Single,2.3,13.2,5.739130435,2005
Vinyl Single,1.5,9.9,6.6,2006
Vinyl Single,0.6,4,6.666666667,2007
Vinyl Single,0.4,2.9,7.25,2008
Vinyl Single,0.3,2.5,8.333333333,2009
Vinyl Single,0.3,2.3,7.666666667,2010
Vinyl Single,0.4,4.6,11.5,2011
Vinyl Single,0.4,4.7,11.75,2012
Vinyl Single,0.3,3,10,2013
Vinyl Single,0.5,5.9,11.8,2014
Cassette,15,76,5.066666667,1973
Cassette,15.3,87.2,5.699346405,1974
Cassette,16.2,98.8,6.098765432,1975
Cassette,21.8,145.7,6.683486239,1976
Cassette,36.9,249.6,6.764227642,1977
Cassette,61.3,449.8,7.337683524,1978
Cassette,78.5,580.6,7.396178344,1979
Cassette,99,705,7.121212121,1980
Cassette,124,1062.8,8.570967742,1981
Cassette,183.2,1384.5,7.55731441,1982
Cassette,236.8,1810.9,7.647381757,1983
Cassette,332,2383.9,7.180421687,1984
Cassette,339.1,2411.5,7.111471542,1985
Cassette,344.5,2499.5,7.255442671,1986
Cassette,410,2959.7,7.218780488,1987
Cassette,450.1,3385.1,7.520773162,1988
Cassette,446.2,3345.8,7.498431197,1989
Cassette,442.2,3472.4,7.852555405,1990
Cassette,360.1,3019.6,8.385448487,1991
Cassette,366.4,3116.3,8.50518559,1992
Cassette,339.5,2915.8,8.588512518,1993
Cassette,345.4,2976.4,8.617255356,1994
Cassette,272.6,2303.6,8.450476889,1995
Cassette,225.3,1905.3,8.456724368,1996
Cassette,172.6,1522.7,8.822132097,1997
Cassette,158.5,1419.9,8.958359621,1998
Cassette,123.6,1061.6,8.588996764,1999
Cassette,76,626,8.236842105,2000
Cassette,45,363.4,8.075555556,2001
